leagueId,id,role,name,teamId,hasContact,hasArcs,arcCount,hasChat,hasMessengerScript
LEAGUE_HIGHSCHOOL,MNG_00001,manager,윤기훈,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,COA_00001,coach,하연우,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,COA_00002,coach,오동준,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,OWN_00001,owner,유하준,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00001,player,박동혁,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00002,player,허지성,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00003,player,문찬우,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00004,player,한성우,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00005,player,유동혁,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00006,player,손민석,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00007,player,홍준우,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00008,player,하우진,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00009,player,권성민,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00010,player,장민혁,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00011,player,오상민,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00012,player,윤성민,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00013,player,손승우,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00014,player,한기준,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00015,player,하민혁,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00016,player,전재윤,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00017,player,고우진,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00018,player,황지원,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00019,player,조지성,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00020,player,오준혁,TEAM_HS_SEOUL_INNOVATION,true,false,0,false,false
LEAGUE_HIGHSCHOOL,MNG_00002,manager,양정우,TEAM_HS_BUSAN_WAVE,true,false,0,false,false
LEAGUE_HIGHSCHOOL,COA_00003,coach,백태민,TEAM_HS_BUSAN_WAVE,true,false,0,false,false
LEAGUE_HIGHSCHOOL,COA_00004,coach,손원준,TEAM_HS_BUSAN_WAVE,true,false,0,false,false
LEAGUE_HIGHSCHOOL,OWN_00002,owner,고민우,TEAM_HS_BUSAN_WAVE,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00021,player,한현준,TEAM_HS_BUSAN_WAVE,true,false,0,false,false
LEAGUE_HIGHSCHOOL,PLY_00022,player,신재훈,TEAM_HS_BUSAN_WAVE,true,false,0,false,false
